,FLOC_EARTX_TechnicalObjectTypeDescr,FYEstimate
0,Cables,1122351.0321212122
1,Connecting Track,210000.0
2,Corridor Access Pt,2933967.705
3,Crossovers,523192.22400000005
4,Culverts,184439.12
5,Curves - Lrg Radius,2033215.677142857
6,Curves - Med Radius,1852874.2162068966
7,Curves - Sml Radius,1682299.4191111112
8,Electrical Turnout,773029.4514893617
9,Fork,18157.0
10,HV Protection,1853593.9
11,Loading Facility,686190.5170588235
12,Main Line,1332652.350617284
13,Manual Turnout,407705.3
14,Network Router,337485.0
15,Passing Loop,46979.769230769234
16,Private LX,996627.6157142858
17,Public LX,1694214.885
18,Structure Track,820631.421724138
19,Substation,1618406.31
20,Tangent Track,1889620.5666666667
21,Transformer,1273583.0
22,Unloading Facility,529958.3240909091
23,Yard Track,67884.58333333333
24,nan,1029491.9391902835
